ath_gene	osa_gene
AT5G57710	Os08g0250900
AT5G14660	Os01g0637600
AT4G02390	Os01g0351200
AT4G16820	Os02g0653900
AT2G27080	Os01g0812100
AT5G57850	Os02g0273100
AT4G15510	Os07g0275100
AT1G31870	Os08g0178300
AT3G21330	Os01g0566800
AT2G26510	Os12g0583900
AT5G11810	Os02g0135600
AT4G09580	Os03g0703900
AT4G39952	Os04g0463800
AT5G62080	Os08g0546300
AT1G31600	Os04g0602700
AT5G13760	Os07g0656100
AT3G08020	Os12g0527800
AT2G01080	Os03g0262700
AT3G09860	Os03g0578200
AT5G24970	Os07g0459200
AT5G20935	Os07g0164200
AT1G55620	Os02g0720700
AT5G54290	Os11g0140800
AT3G09455	Os07g0620500
AT2G36530	Os03g0248600
AT3G56650	Os01g0805300
AT2G39940	Os05g0449500
AT4G32900	Os05g0520200
AT3G61110	Os02g0478700
AT3G49220	Os02g0288100
AT4G17050	Os07g0495000
AT4G30845	Os03g0210900
AT5G55130	Os02g0804600
AT3G21740	Os04g0628000
AT5G18920	Os05g0404300
AT5G61330	Os01g0526200
AT5G58240	Os11g0120600
ATMG01250	Os06g0484800
AT5G51660	Os04g0252200
AT3G05545	Os05g0154600
AT5G53650	Os05g0535700
AT1G07540	Os03g0274300
AT1G72880	Os01g0709400
AT2G44310	Os03g0411300
AT2G25800	Os09g0346700
AT5G05730	Os03g0826500
AT3G24503	Os01g0591000
AT4G16800	Os02g0654100
AT3G47440	Os04g0550800
AT1G55870	Os04g0467400
AT1G16560	Os05g0220100
AT1G60490	Os05g0180600
AT3G14400	Os05g0510300
AT2G38600	Os03g0332533
AT3G16760	Os03g0340700
AT2G24590	Os02g0789400
AT3G13225	Os06g0298400
AT5G48720	Os01g0918100
AT4G29010	Os02g0274100
AT1G47830	Os12g0207300
AT5G10630	Os01g0116600
AT1G62400	Os06g0636600
AT2G31530	Os05g0397700
AT2G30480	Os01g0167700
AT1G59540	Os11g0552600
AT5G08420	Os10g0452800
AT5G17790	Os01g0815700
AT5G52540	Os06g0107100
AT5G14210	Os11g0308800
AT5G40370	Os04g0508300
AT3G04160	Os04g0349401
AT4G11820	Os09g0521400
AT1G34270	Os04g0670600
AT5G14020	Os11g0514800
AT5G63110	Os08g0344100
AT2G38060	Os05g0451100
AT5G16750	Os04g0592700
AT5G16810	Os02g0694800
AT4G30990	Os01g0584800
AT5G19970	Os01g0647000
